FIRE_SIZE_CLASS,DISCOVERY_MONTH_CONVERTED,D0,D1,D2,D3,D4,DAY_PRCP_1,DAY_PRCP_2,DAY_PRCP_3,DAY_PRCP_4,DAY_AVG_TEMP_1,DAY_AVG_TEMP_2,DAY_AVG_TEMP_3,DAY_AVG_TEMP_4,NAME_Ada,NAME_Adams,NAME_Bannock,NAME_Bear Lake,NAME_Benewah,NAME_Bingham,NAME_Blaine,NAME_Boise,NAME_Bonner,NAME_Bonneville,NAME_Boundary,NAME_Butte,NAME_Camas,NAME_Canyon,NAME_Caribou,NAME_Cassia,NAME_Clark,NAME_Clearwater,NAME_Custer,NAME_Elmore,NAME_Franklin,NAME_Fremont,NAME_Gem,NAME_Gooding,NAME_Idaho,NAME_Jefferson,NAME_Latah,NAME_Lemhi,NAME_Lewis,NAME_Lincoln,NAME_Madison,NAME_Minidoka,NAME_Nez Perce,NAME_Oneida,NAME_Owyhee,NAME_Payette,NAME_Power,NAME_Shoshone,NAME_Teton,NAME_Twin Falls,NAME_Valley,NAME_Washington,NAME_Jerome,NAME_Kootenai
D,8,100.0,100.0,100.0,82.57,0.0,0.0,0.0,0.0,0.0,69.08000000000001,70.34,69.08000000000001,64.94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
D,8,100.0,100.0,100.0,82.6,0.0,0.0,0.0,0.0,0.0,70.88,72.86,71.96000000000002,75.56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
D,8,100.0,100.0,100.0,82.6,0.0,0.0,0.0,0.0,0.3,75.56,71.78,64.58000000000001,58.82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
D,7,100.0,55.02,0.0,0.0,0.0,0.0,0.0,0.0,5.1,69.80000000000001,69.98,73.75999999999998,72.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
D,8,100.0,100.0,100.0,82.57,0.0,0.0,0.0,0.0,0.0,69.25999999999999,69.08000000000001,70.34,69.08000000000001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
D,6,100.0,62.69,0.0,0.0,0.0,0.0,0.0,0.0,0.0,75.74000000000002,80.78,79.88,78.98,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
D,7,100.0,58.72,0.0,0.0,0.0,0.0,0.0,0.0,0.0,67.46000000000001,69.08000000000001,74.84,73.03999999999998,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
D,8,35.31,0.0,0.0,0.0,0.0,0.3,0.0,0.3,0.0,79.88,72.86,73.4,67.28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
D,7,26.46,0.0,0.0,0.0,0.0,5.6,0.0,0.0,0.0,71.9762626764068,67.28,71.42,77.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
D,8,33.76,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,64.58000000000001,66.38,72.58600682593917,71.96000000000002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
D,8,35.31,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.0,71.42,79.52,79.88,72.86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
D,8,35.31,0.0,0.0,0.0,0.0,0.0,0.3,0.0,0.0,72.86,73.4,67.28,64.58000000000001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
D,7,93.98,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,77.36,80.24000000000002,73.4,79.52,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
D,9,100.0,72.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,65.84,55.40000000000001,57.56,60.44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
D,8,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,86.9,77.0,75.92,74.84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
D,8,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,63.14,64.75999999999999,68.18,69.80000000000001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
D,8,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,69.98,67.1,63.14,64.75999999999999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
D,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,69.98,72.5,73.94,76.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
D,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,66.74000000000001,67.1,70.34,75.38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
