OID_,OBJECTID,NAME,STATE_NAME,STATE_FIPS,CNTY_FIPS,FIPS,POPULATION,POP_SQMI,POP2010,POP10_SQMI,WHITE,BLACK,AMERI_ES,ASIAN,HAWN_PI,HISPANIC,OTHER,MULT_RACE,MALES,FEMALES,AGE_UNDER5,AGE_5_9,AGE_10_14,AGE_15_19,AGE_20_24,AGE_25_34,AGE_35_44,AGE_45_54,AGE_55_64,AGE_65_74,AGE_75_84,AGE_85_UP,MED_AGE,MED_AGE_M,MED_AGE_F,HOUSEHOLDS,AVE_HH_SZ,HSEHLD_1_M,HSEHLD_1_F,MARHH_CHD,MARHH_NO_C,MHH_CHILD,FHH_CHILD,FAMILIES,AVE_FAM_SZ,HSE_UNITS,VACANT,OWNER_OCC,RENTER_OCC,NO_FARMS12,AVE_SIZE12,CROP_ACR12,AVE_SALE12,SQMI,Shape_Leng,SHAPE_Length,SHAPE_Area
190,190,Minidoka,Idaho,16,067,16067,20870,27.300000000000001,20069,26.300000000000001,16091,77,248,88,1,6493,3076,488,10154,9915,1686,1531,1607,1643,1111,2387,2117,2709,2309,1616,923,430,35.299999999999997,33.799999999999997,37.200000000000003,7170,2.790000000000000,705,874,1950,2339,247,456,5315,3.270000000000000,7665,495,5333,1837,622.000000000000000,392.000000000000000,217383.000000000000000,593125.000000000000000,763.110000000000014,2.343313536230000,2.343313533818884,0.217675406851000
191,191,Power,Idaho,16,077,16077,7917,5.500000000000000,7817,5.400000000000000,5867,22,179,32,7,2328,1523,187,4025,3792,718,664,645,628,487,942,843,1023,920,557,289,101,33.200000000000003,32.600000000000001,33.899999999999999,2641,2.940000000000000,284,238,764,836,97,195,2019,3.390000000000000,2944,303,1962,679,308.000000000000000,1517.000000000000000,361680.000000000000000,773746.000000000000000,1442.700000000000045,3.762748320420000,3.762748313097015,0.410473200537000
192,192,Blaine,Idaho,16,013,16013,21658,8.100000000000000,21376,8.000000000000000,18157,39,125,183,16,4272,2530,326,10886,10490,1414,1537,1397,1213,903,2658,2964,3596,3218,1663,627,186,40.399999999999999,40.000000000000000,40.899999999999999,8823,2.390000000000000,1293,1241,2044,2525,261,496,5575,2.990000000000000,15050,6227,5939,2884,186.000000000000000,963.000000000000000,47596.000000000000000,207379.000000000000000,2660.619999999999891,7.250348413530000,7.250348415731096,0.765798137093000
193,193,Butte,Idaho,16,023,16023,2639,1.200000000000000,2891,1.300000000000000,2761,6,13,5,5,119,59,42,1485,1406,214,215,229,212,109,284,273,422,427,292,158,56,41.700000000000003,40.899999999999999,42.399999999999999,1129,2.540000000000000,171,127,275,389,23,56,788,3.100000000000000,1354,225,865,264,214.000000000000000,585.000000000000000,68609.000000000000000,183641.000000000000000,2233.539999999999964,4.365274900960000,4.365274905209034,0.646151059749000
198,198,Franklin,Idaho,16,041,16041,13561,20.300000000000001,12786,19.100000000000001,12064,28,53,15,7,838,419,200,6486,6300,1219,1292,1289,1020,622,1566,1443,1503,1189,866,529,248,31.500000000000000,30.600000000000001,32.399999999999999,4079,3.110000000000000,361,369,1517,1363,78,189,3259,3.560000000000000,4528,449,3234,845,834.000000000000000,315.000000000000000,140805.000000000000000,127228.000000000000000,668.299999999999955,2.433125612550000,2.433125611277964,0.188619666794000
203,203,Bannock,Idaho,16,005,16005,85802,74.799999999999997,82839,72.200000000000003,74401,625,2619,1079,188,5587,1721,2206,41298,41541,6971,6472,5949,6140,7267,12679,9135,9860,9123,4997,3008,1238,31.500000000000000,30.699999999999999,32.399999999999999,30682,2.640000000000000,3678,3951,7482,8545,1000,2242,20836,3.170000000000000,33191,2509,20817,9865,819.000000000000000,360.000000000000000,164069.000000000000000,66268.000000000000000,1147.480000000000018,3.935222020210000,3.935222014722730,0.326351058570000
204,204,Caribou,Idaho,16,029,16029,6933,3.900000000000000,6963,3.900000000000000,6637,4,23,15,15,336,163,106,3509,3454,547,580,551,474,305,832,740,969,862,612,352,139,37.600000000000001,36.500000000000000,38.700000000000003,2606,2.640000000000000,275,323,727,948,69,112,1936,3.120000000000000,3226,620,2067,539,436.000000000000000,905.000000000000000,215399.000000000000000,201934.000000000000000,1798.569999999999936,4.002824013180000,4.002824019953767,0.512351186027000
205,205,Oneida,Idaho,16,071,16071,4392,3.700000000000000,4286,3.600000000000000,4144,9,22,20,1,126,46,44,2191,2095,327,381,353,320,147,449,430,606,559,365,233,116,38.899999999999999,37.899999999999999,40.100000000000001,1545,2.740000000000000,174,174,464,554,27,68,1161,3.240000000000000,1906,361,1260,285,503.000000000000000,653.000000000000000,175718.000000000000000,64545.000000000000000,1201.710000000000036,2.965464735720000,2.965464732614137,0.339233386208000
206,206,Bingham,Idaho,16,011,16011,46478,21.899999999999999,45607,21.500000000000000,36752,105,2970,285,36,7864,4480,979,22885,22722,4403,4250,3998,3635,2589,5793,5131,5799,4795,2890,1721,603,31.800000000000001,31.000000000000000,32.600000000000001,14999,3.020000000000000,1291,1487,4825,4536,527,1110,11731,3.450000000000000,16141,1142,11563,3436,1265.000000000000000,687.000000000000000,369534.000000000000000,358314.000000000000000,2120.219999999999800,4.386102304460000,4.386102305948189,0.608313372171000
207,207,Bonneville,Idaho,16,019,16019,113469,59.700000000000003,104234,54.799999999999997,94411,585,790,856,86,11912,5334,2172,51996,52238,9975,9507,8352,7517,6279,15302,11969,13208,10782,6127,3633,1583,31.800000000000001,31.100000000000001,32.500000000000000,36629,2.810000000000000,3857,4360,10906,10605,1065,2641,26787,3.320000000000000,39731,3102,26336,10293,893.000000000000000,458.000000000000000,278842.000000000000000,228640.000000000000000,1900.579999999999927,4.159876408130000,4.159876406543717,0.546814193356000
